product_id,product_name,category,price
PROD-0001,Norwood & Fitch Swim Trunks,clothing,24.19
PROD-0002,DriveLine Magnetic Phone Mount,automotive,13.43
PROD-0003,Pulsewave Dual-Band Wireless Router,electronics,40.75
PROD-0004,PlayNest Action Figure 5-Pack,toys,25.72
PROD-0005,Solstice Flannel Shirt,clothing,36.67
PROD-0006,Norwood & Fitch Maxi Dress,clothing,86.83
PROD-0007,Wovenly 5-Shelf Bookcase,home,84.71
PROD-0008,Solstice Merino Crew Sweater,clothing,77.40
PROD-0009,NexTech Wireless Noise-Canceling Earbuds,electronics,108.33
PROD-0010,Solstice Cotton T-Shirt,clothing,21.75
PROD-0011,Wovenly Full-Length Floor Mirror,home,66.97
PROD-0012,Pulsewave Wireless Noise-Canceling Earbuds,electronics,101.93
PROD-0013,PlayNest Plush Teddy Bear,toys,16.91
PROD-0014,IronGrit Insulated Water Bottle,sports,10.19
PROD-0015,Circuit & Co Robot Vacuum,electronics,175.00
PROD-0016,Linden Row Memory Foam Pillow,home,28.57
PROD-0017,Linden Row Picture Frame Gallery Set,home,16.89
PROD-0018,Harbor Line Cable Knit Cardigan,clothing,58.56
PROD-0019,IronGrit Speed Jump Rope,sports,13.04
PROD-0021,DriveLine Car Wax & Detailing Kit,automotive,28.30
PROD-0022,Velora Nail Polish Trio Set,beauty,11.28
PROD-0023,IronGrit Cast Iron Kettlebell,sports,39.61
PROD-0024,TrailGear Portable Jump Starter,automotive,91.58
PROD-0025,Harbor Line Swim Trunks,clothing,34.58
PROD-0026,Wonderkid Toy Dinosaur Set,toys,21.80
PROD-0027,Circuit & Co Smartwatch,electronics,162.15
PROD-0028,Linden Row Fabric Shower Curtain,home,21.39
PROD-0029,CopperTable Stand Mixer,kitchen,339.41
PROD-0030,CopperTable Rice Cooker,kitchen,55.91
PROD-0031,Millbrook Stainless Chef's Knife,kitchen,33.47
PROD-0032,Bare & Bloom Liquid Foundation,beauty,23.46
PROD-0033,CopperTable Bamboo Cutting Board Set,kitchen,38.32
PROD-0034,GlowLab Makeup Setting Spray,beauty,20.93
PROD-0035,Velora SPF 50 Sunscreen Lotion,beauty,18.66
PROD-0036,Wonderkid Family Board Game,toys,25.91
PROD-0037,Comfort Haven Scented Candle 3-Pack,home,25.80
PROD-0038,NexTech Video Doorbell,electronics,120.71
PROD-0039,Buildly Remote Control Race Car,toys,59.37
PROD-0040,Linden Row Runner Rug,home,36.92
PROD-0041,Wovenly Scented Candle 3-Pack,home,19.63
PROD-0042,RoadCrest Seat Cover Set,automotive,33.54
PROD-0044,Circuit & Co 4K Streaming Media Player,electronics,29.64
PROD-0045,PlayNest Card Game,toys,9.39
PROD-0046,Bare & Bloom Dry Shampoo,beauty,13.96
PROD-0047,Wovenly Blackout Curtain Panel,home,40.82
PROD-0048,CopperTable Programmable Slow Cooker,kitchen,51.05
PROD-0049,Bare & Bloom Eau de Parfum,beauty,69.01
PROD-0050,IronGrit Trail Running Shoes,sports,89.02
PROD-0051,Velora Hair Repair Mask,beauty,25.96
PROD-0052,Comfort Haven Full-Length Floor Mirror,home,123.58
PROD-0053,DriveLine Portable Battery Charger,automotive,41.90
PROD-0054,Harbor Line Fleece Hoodie,clothing,39.90
PROD-0055,Bare & Bloom Charcoal Detox Face Mask,beauty,15.71
PROD-0056,Wonderkid Plush Teddy Bear,toys,27.99
PROD-0058,PeakStride Insulated Water Bottle,sports,15.43
